date,time,price
2024-05-17, 05:00:00 ,65418 
2024-05-17, 06:00:00 ,65658 
2024-05-17, 07:00:00 ,65933 
2024-05-17, 08:00:00 ,66378 
2024-05-17, 09:00:00 ,66132 
2024-05-17, 10:00:00 ,66335 
2024-05-17, 11:00:00 ,66496 
2024-05-17, 12:00:00 ,66202 
2024-05-17, 13:00:00 ,66362 
2024-05-17, 14:00:00 ,65928 
2024-05-17, 15:00:00 ,66808 
2024-05-17, 16:00:00 ,67202 
2024-05-17, 17:00:00 ,66933 
2024-05-17, 18:00:00 ,66710 
2024-05-17, 19:00:00 ,66815 
2024-05-17, 20:00:00 ,67044 
2024-05-17, 21:00:00 ,66885 
2024-05-17, 22:00:00 ,66812 
2024-05-17, 23:00:00 ,66758 
2024-05-18, 00:00:00 ,67012 
2024-05-18, 01:00:00 ,66882 
2024-05-18, 02:00:00 ,66970 
2024-05-18, 03:00:00 ,66900 
2024-05-18, 04:00:00 ,66941 
2024-05-18, 05:00:00 ,66879 
2024-05-18, 06:00:00 ,66858 
2024-05-18, 07:00:00 ,66912 
2024-05-18, 08:00:00 ,66886 
2024-05-18, 09:00:00 ,67018 
2024-05-18, 10:00:00 ,67130 
2024-05-18, 11:00:00 ,67214 
2024-05-18, 12:00:00 ,67200 
2024-05-18, 13:00:00 ,66964 
2024-05-18, 14:00:00 ,66870 
2024-05-18, 15:00:00 ,66786 
2024-05-18, 16:00:00 ,66806 
2024-05-18, 17:00:00 ,66878 
2024-05-18, 18:00:00 ,66858 
2024-05-18, 19:00:00 ,66785 
2024-05-18, 20:00:00 ,66903 
2024-05-18, 21:00:00 ,66968 
2024-05-18, 22:00:00 ,66890 
2024-05-18, 23:00:00 ,66918 
2024-05-19, 00:00:00 ,66902 
2024-05-19, 01:00:00 ,66900 
2024-05-19, 02:00:00 ,66902 
2024-05-19, 03:00:00 ,67170 
2024-05-19, 04:00:00 ,67134 
2024-05-19, 05:00:00 ,67128 
2024-05-19, 06:00:00 ,67084 
2024-05-19, 07:00:00 ,67008 
2024-05-19, 08:00:00 ,67312 
2024-05-19, 09:00:00 ,67141 
2024-05-19, 10:00:00 ,67172 
2024-05-19, 11:00:00 ,67260 
2024-05-19, 12:00:00 ,67314 
2024-05-19, 13:00:00 ,66818 
2024-05-19, 14:00:00 ,67033 
2024-05-19, 15:00:00 ,66910 
2024-05-19, 16:00:00 ,66889 
2024-05-19, 17:00:00 ,66642 
2024-05-19, 18:00:00 ,66676 
2024-05-19, 19:00:00 ,66552 
2024-05-19, 20:00:00 ,65985 
2024-05-19, 21:00:00 ,66115 
2024-05-19, 22:00:00 ,66240 
2024-05-19, 23:00:00 ,66316 
2024-05-20, 00:00:00 ,66228 
2024-05-20, 01:00:00 ,66416 
2024-05-20, 02:00:00 ,66500 
2024-05-20, 03:00:00 ,66647 
2024-05-20, 04:00:00 ,66653 
2024-05-20, 05:00:00 ,67134 
2024-05-20, 06:00:00 ,67123 
2024-05-20, 07:00:00 ,66400 
2024-05-20, 08:00:00 ,66804 
2024-05-20, 09:00:00 ,66746 
2024-05-20, 10:00:00 ,66896 
2024-05-20, 11:00:00 ,67107 
2024-05-20, 12:00:00 ,66998 
2024-05-20, 13:00:00 ,66908 
2024-05-20, 14:00:00 ,67099 
