date,time,price
2024-06-20, 23:25:00 ,64939 
2024-06-20, 23:30:00 ,64912 
2024-06-20, 23:35:00 ,64900 
2024-06-20, 23:40:00 ,64914 
2024-06-20, 23:45:00 ,64888 
2024-06-20, 23:50:00 ,64867 
2024-06-20, 23:55:00 ,64840 
2024-06-21, 00:00:00 ,64830 
2024-06-21, 00:05:00 ,64878 
2024-06-21, 00:10:00 ,64791 
2024-06-21, 00:15:00 ,64682 
2024-06-21, 00:20:00 ,64614 
2024-06-21, 00:25:00 ,64728 
2024-06-21, 00:30:00 ,64790 
2024-06-21, 00:35:00 ,64814 
2024-06-21, 00:40:00 ,64802 
2024-06-21, 00:45:00 ,64838 
2024-06-21, 00:50:00 ,64762 
2024-06-21, 00:55:00 ,64754 
2024-06-21, 01:00:00 ,64780 
2024-06-21, 01:05:00 ,64804 
2024-06-21, 01:10:00 ,64784 
2024-06-21, 01:15:00 ,64636 
2024-06-21, 01:20:00 ,64706 
2024-06-21, 01:25:00 ,64790 
2024-06-21, 01:30:00 ,64849 
2024-06-21, 01:35:00 ,64896 
2024-06-21, 01:40:00 ,64867 
2024-06-21, 01:45:00 ,64838 
2024-06-21, 01:50:00 ,64900 
2024-06-21, 01:55:00 ,64857 
2024-06-21, 02:00:00 ,64894 
2024-06-21, 02:05:00 ,64992 
2024-06-21, 02:10:00 ,64891 
2024-06-21, 02:15:00 ,64866 
2024-06-21, 02:20:00 ,64853 
2024-06-21, 02:25:00 ,64852 
2024-06-21, 02:30:00 ,64840 
2024-06-21, 02:35:00 ,64758 
2024-06-21, 02:40:00 ,64678 
2024-06-21, 02:45:00 ,64762 
2024-06-21, 02:50:00 ,64746 
2024-06-21, 02:55:00 ,64697 
2024-06-21, 03:00:00 ,64730 
2024-06-21, 03:05:00 ,64712 
2024-06-21, 03:10:00 ,64757 
2024-06-21, 03:15:00 ,64752 
2024-06-21, 03:20:00 ,64762 
2024-06-21, 03:25:00 ,64756 
2024-06-21, 03:30:00 ,64728 
2024-06-21, 03:35:00 ,64670 
2024-06-21, 03:40:00 ,64700 
2024-06-21, 03:45:00 ,64698 
2024-06-21, 03:50:00 ,64674 
2024-06-21, 03:55:00 ,64604 
2024-06-21, 04:00:00 ,64434 
2024-06-21, 04:05:00 ,64372 
2024-06-21, 04:10:00 ,64481 
2024-06-21, 04:15:00 ,64470 
2024-06-21, 04:20:00 ,64512 
2024-06-21, 04:25:00 ,64545 
2024-06-21, 04:30:00 ,64532 
2024-06-21, 04:35:00 ,64537 
2024-06-21, 04:40:00 ,64556 
2024-06-21, 04:45:00 ,64565 
2024-06-21, 04:50:00 ,64580 
2024-06-21, 04:55:00 ,64560 
2024-06-21, 05:00:00 ,64597 
2024-06-21, 05:05:00 ,64594 
2024-06-21, 05:10:00 ,64528 
2024-06-21, 05:15:00 ,64466 
2024-06-21, 05:20:00 ,64487 
2024-06-21, 05:25:00 ,64487 
2024-06-21, 05:30:00 ,64510 
2024-06-21, 05:35:00 ,64543 
2024-06-21, 05:40:00 ,64495 
2024-06-21, 05:45:00 ,64510 
2024-06-21, 05:50:00 ,64520 
2024-06-21, 05:55:00 ,64578 
2024-06-21, 06:00:00 ,64578 
2024-06-21, 06:05:00 ,64556 
2024-06-21, 06:10:00 ,64600 
2024-06-21, 06:15:00 ,64654 
2024-06-21, 06:20:00 ,64594 
2024-06-21, 06:25:00 ,64576 
2024-06-21, 06:30:00 ,64557 
2024-06-21, 06:35:00 ,64592 
2024-06-21, 06:40:00 ,64587 
2024-06-21, 06:45:00 ,64555 
2024-06-21, 06:50:00 ,64560 
2024-06-21, 06:55:00 ,64542 
2024-06-21, 07:00:00 ,64557 
2024-06-21, 07:05:00 ,64574 
2024-06-21, 07:10:00 ,64552 
2024-06-21, 07:15:00 ,64609 
2024-06-21, 07:20:00 ,64630 
2024-06-21, 07:25:00 ,64610 
2024-06-21, 07:30:00 ,64654 
2024-06-21, 07:35:00 ,64596 
2024-06-21, 07:40:00 ,64568 
2024-06-21, 07:45:00 ,64486 
2024-06-21, 07:50:00 ,64416 
2024-06-21, 07:55:00 ,64251 
2024-06-21, 08:00:00 ,64132 
2024-06-21, 08:05:00 ,64221 
2024-06-21, 08:10:00 ,64185 
2024-06-21, 08:15:00 ,64220 
2024-06-21, 08:20:00 ,64260 
2024-06-21, 08:25:00 ,64298 
2024-06-21, 08:30:00 ,64178 
